"","income","apr","OccGroup"
"214","$25-50k",0.16184,"Sales"
"215","$50-75k",0.24282,"Professional"
"217","$50-75k",0.3179,"Investor"
"219","$50-75k",0.19236,"Other"
"220","$100k+",0.21933,"Professional"
"221","$25-50k",0.30564,"Police Officer"
"222","$50-75k",0.15629,"Other"
"223","$100k+",0.1272,"Pharmacist"
"224","$25-50k",0.13799,"Admin Assistant"
"225","$100k+",0.13799,"Sales"
"226","$100k+",0.23121,"Nursing"
"228","$100k+",0.20217,"Professional"
"229","$25-50k",0.21576,"Truck Driver"
"230","$1-25k",0.22773,"None provided"
"231","$25-50k",0.14453,"Other"
"232","$100k+",0.09434,"Skilled Labor"
"233","$25-50k",0.32446,"Other"
"234","$25-50k",0.27285,"Other"
"235","$100k+",0.16499,"Nursing"
"236","$75-100k",0.20398,"Truck Driver"
"237","$25-50k",0.06726,"Tradesman"
"238","$25-50k",0.19859,"None provided"
"239","$50-75k",0.23462,"Other"
"240","$50-75k",0.11766,"Professional"
"241","$25-50k",0.28851,"Laborer"
"242","$25-50k",0.37453,"Admin Assistant"
"243","$50-75k",0.35858,"Professional"
"244","$50-75k",0.18633,"Construction"
"245","$50-75k",0.33286,"Truck Driver"
"246","$100k+",0.11893,"Programmer"
"247","$100k+",0.25102,"Pharmacist"
"249","$50-75k",0.22593,"Admin Assistant"
"254","$25-50k",0.31053,"Other"
"255","$25-50k",0.31032,"Other"
"256","$25-50k",0.26079,"Programmer"
"257","$75-100k",0.21434,"Programmer"
"258","$100k+",0.14243,"Clerical"
"259","$1-25k",0.16461,"Admin Assistant"
"260","$1-25k",0.15651,"Sales"
"261","$25-50k",0.35132,"Professional"
"262","$50-75k",0.10336,"Other"
"263","$25-50k",0.33553,"Police Officer"
"264","$25-50k",0.13138,"Professional"
"265","$25-50k",0.1911,"Food Service Mgmt"
"266","$25-50k",0.35797,"Retail Management"
"267","$25-50k",0.35797,"Other"
"268","$50-75k",0.35643,"Other"
"269","$1-25k",0.27285,"Other"
"270","$25-50k",0.37402,"Other"
"271","$50-75k",0.28324,"Other"
"272","$50-75k",0.24753,"Programmer"
"273","$1-25k",0.35643,"Tradesman"
"274","$25-50k",0.30271,"Other"
"275","$75-100k",0.16324,"Programmer"
"277","$75-100k",0.27462,"Other"
"278","$75-100k",0.15868,"Other"
"279","$75-100k",0.15449,"Truck Driver"
"280","$50-75k",0.15936,"Scientist"
"281","$75-100k",0.35797,"Engineer"
"282","$50-75k",0.29394,"Skilled Labor"
"283","$50-75k",0.18725,"Other"
"284","$25-50k",0.16056,"Teaching"
"285","$50-75k",0.22456,"Accountant"
"286","$50-75k",0.21945,"Retail Management"
"287","$25-50k",0.30532,"Accountant"
"288","$100k+",0.2951,"Doctor/Dentist"
"289","$100k+",0.28848,"Engineer"
"290","$50-75k",0.30532,"Other"
"291","$50-75k",0.16732,"Skilled Labor"
"292","$100k+",0.15868,"Sales"
"293","$50-75k",0.32333,"Professional"
"294","$1-25k",0.24753,"Clerical"
"295","$100k+",0.14249,"Retail Management"
"296","$25-50k",0.2354,"Other"
"297","$25-50k",0.17359,"Admin Assistant"
"298","$1-25k",0.26681,"Other"
"300","$50-75k",0.25279,"Teaching"
"301","$75-100k",0.25424,"Programmer"
"302","$75-100k",0.32538,"Civil Service"
"303","$50-75k",0.28574,"Sales"
"304","$25-50k",0.30532,"Architect"
"305","$50-75k",0.26681,"Professional"
"306","$25-50k",0.38486,"Other"
"307","$1-25k",0.35797,"Other"
"308","$100k+",0.15223,"Professional"
"309","$25-50k",0.20735,"Landscaping"
"310","$50-75k",0.16056,"Analyst"
"312","$75-100k",0.21345,"Nursing"
"313","$25-50k",0.23438,"Admin Assistant"
"314","$100k+",0.19144,"Professional"
"315","$100k+",0.13202,"Executive"
"316","$25-50k",0.12081,"Landscaping"
"317","$50-75k",0.35797,"Admin Assistant"
"318","$50-75k",0.17522,"Professional"
"319","$25-50k",0.09434,"Clerical"
"320","$100k+",0.31053,"Executive"
"321","$25-50k",0.14942,"Construction"
"322","$75-100k",0.13189,"Professional"
"323","$100k+",0.12427,"Analyst"
"324","$100k+",0.25013,"Executive"
"325","$1-25k",0.13411,"Laborer"
"327","$1-25k",0.30465,"Sales"
"328","$75-100k",0.16993,"Professional"
"329","$50-75k",0.35797,"Nursing"
"330","$1-25k",0.19221,"Waiter/Waitress"
"331","$25-50k",0.15377,"Executive"
"332","$1-25k",0.33973,"Other"
"334","$50-75k",0.2129,"Flight Attendant"
"335","$100k+",0.21025,"Executive"
"338","$25-50k",0.21025,"Retail Management"
"339","$25-50k",0.127,"Tradesman"
"340","$25-50k",0.30168,"Other"
"341","$50-75k",0.09837,"Waiter/Waitress"
"342","$25-50k",0.37352,"Admin Assistant"
"343","$25-50k",0.2951,"Other"
"344","$75-100k",0.20081,"Tradesman"
"345","$25-50k",0.09844,"Medical Technician"
"346","$50-75k",0.08991,"Other"
"347","$50-75k",0.1215,"Retail Management"
"348","$50-75k",0.14714,"Truck Driver"
"349","$25-50k",0.13353,"Analyst"
"350","$1-25k",0.1709,"None provided"
"351","$25-50k",0.28851,"Skilled Labor"
"352","$100k+",0.16678,"Sales"
"353","$100k+",0.2699,"Executive"
"354","$100k+",0.28918,"Professional"
"355","$50-75k",0.37699,"Truck Driver"
"356","$50-75k",0.19921,"Police Officer"
"358","$50-75k",0.21935,"Civil Service"
"359","$50-75k",0.24246,"Professional"
"360","$25-50k",0.26528,"Other"
"361","$50-75k",0.34105,"Professional"
"362","$25-50k",0.32576,"Clerical"
"363","$25-50k",0.14974,"Accountant"
"364","$25-50k",0.35797,"Executive"
"365","$50-75k",0.34887,"Bus Driver"
"366","$75-100k",0.09534,"Professional"
"368","$1-25k",0.30704,"Sales"
"369","$1-25k",0.20735,"Sales"
"370","$1-25k",0.37453,"Food Service"
"372","$50-75k",0.16005,"Programmer"
"373","$25-50k",0.37453,"Postal Service"
"374","$50-75k",0.28032,"Other"
"375","$100k+",0.17611,"Executive"
"377","$25-50k",0.13836,"Nursing"
"378","$100k+",0.14965,"Analyst"
"379","$25-50k",0.23462,"Medical Technician"
"380","$25-50k",0.2952,"Other"
"381","$75-100k",0.13411,"Professional"
"382","$75-100k",0.35643,"Other"
"383","$25-50k",0.20626,"Engineer"
"384","$50-75k",0.10913,"Teaching"
"385","$25-50k",0.14197,"Tradesman"
"386","$75-100k",0.31368,"Retail Management"
"389","$25-50k",0.23718,"Construction"
"390","$25-50k",0.24856,"Clerical"
"391","$100k+",0.30532,"Professional"
"392","$25-50k",0.22742,"Other"
"393","$25-50k",0.14453,"Other"
"394","$100k+",0.11296,"Professional"
"395","$50-75k",0.21576,"Programmer"
"396","$50-75k",0.15512,"Other"
"397","$25-50k",0.23718,"Tradesman"
"398","$50-75k",0.32393,"Professional"
"399","$75-100k",0.15833,"Professional"
"400","$25-50k",0.25517,"Admin Assistant"
"401","$100k+",0.2148,"Executive"
"403","$50-75k",0.17849,"Other"
"404","$75-100k",0.28545,"Other"
"406","$25-50k",0.09678,"Teaching"
"407","$75-100k",0.34915,"Architect"
"408","$75-100k",0.35838,"Programmer"
"409","$100k+",0.17969,"Executive"
"410","$75-100k",0.18222,"Other"
"411","$1-25k",0.26762,"Other"
"412","$100k+",0.10645,"Engineer"
"413","$100k+",0.13202,"Programmer"
"414","$25-50k",0.0903,"Other"
"415","$50-75k",0.1322,"Programmer"
"416","$50-75k",0.38058,"Professional"
"417","$50-75k",0.34752,"Food Service"
"418","$25-50k",0.24758,"Other"
"419","$75-100k",0.22712,"Doctor/Dentist"
"420","$1-25k",0.35356,"Other"
"421","$100k+",0.25013,"Construction"
"422","$50-75k",0.24264,"Other"
"423","$75-100k",0.13271,"Analyst"
"424","$100k+",0.15934,"Executive"
"425","$25-50k",0.28851,"Other"
"426","$25-50k",0.36438,"Admin Assistant"
"427","$75-100k",0.22712,"Chemist"
"428","$1-25k",0.12382,"Student"
"429","$100k+",0.35643,"Other"
"430","$100k+",0.23748,"Principal"
"431","$25-50k",0.14816,"Clerical"
"432","$50-75k",0.18837,"Laborer"
"433","$50-75k",0.08001,"Other"
"434","$100k+",0.16969,"Other"
"435","$100k+",0.10878,"Civil Service"
"436","$25-50k",0.19422,"Skilled Labor"
"437","$25-50k",0.30951,"Executive"
"438","$75-100k",0.11766,"Professional"
"439","$75-100k",0.34577,"Attorney"
"440","$50-75k",0.17522,"Professional"
"441","$100k+",0.15713,"Professional"
"442","$25-50k",0.35643,"Other"
"443","$100k+",0.20524,"Other"
"444","$25-50k",0.1019,"Sales"
"445","$100k+",0.22773,"Other"
"446","$100k+",0.13189,"Accountant"
"447","$50-75k",0.13189,"Social Worker"
"448","$25-50k",0.2951,"Sales"
"450","$50-75k",0.35797,"Truck Driver"
"451","$50-75k",0.27776,"Skilled Labor"
"452","$25-50k",0.18986,"Admin Assistant"
"453","$75-100k",0.13202,"Scientist"
"454","$50-75k",0.14816,"Medical Technician"
"455","$75-100k",0.2951,"Programmer"
"456","$25-50k",0.17151,"Sales"
"457","$50-75k",0.13694,"Programmer"
"458","$50-75k",0.29107,"Military"
"459","$50-75k",0.22908,"Engineer"
"460","$25-50k",0.202,"Other"
"461","$75-100k",0.25718,"Doctor/Dentist"
"462","$25-50k",0.18965,"Civil Service"
"463","$50-75k",0.18136,"Skilled Labor"
"464","$100k+",0.14965,"Doctor/Dentist"
"465","$1-25k",0.23014,"Sales"
"466","$25-50k",0.18275,"Teaching"
"467","$25-50k",0.17359,"Police Officer"
"468","$25-50k",0.24205,"Skilled Labor"
"469","$100k+",0.12562,"Other"
"471","$1-25k",0.27554,"Professional"
"472","$50-75k",0.18426,"Executive"
"473","$25-50k",0.21648,"None provided"
"474","$1-25k",0.32446,"Landscaping"
"475","$100k+",0.09333,"Other"
"476","$25-50k",0.35285,"Other"
"477","$100k+",0.14528,"Other"
"478","$50-75k",0.33297,"Other"
"479","$75-100k",0.1921,"Teaching"
"480","$100k+",0.2353,"Other"
"481","$1-25k",0.37453,"Waiter/Waitress"
"482","$50-75k",0.17969,"Other"
"483","$25-50k",0.2325,"Admin Assistant"
"484","$100k+",0.21935,"Other"
"485","$75-100k",0.17522,"Professional"
"486","$75-100k",0.21935,"Military"
"487","$75-100k",0.22872,"Nursing"
"488","$75-100k",0.08935,"Analyst"
"489","$25-50k",0.24376,"Skilled Labor"
"490","$50-75k",0.2974,"Other"
"491","$25-50k",0.17322,"Other"
"492","$75-100k",0.17327,"Analyst"
"493","$100k+",0.17493,"Pilot"
"494","$25-50k",0.35797,"Other"
"496","$25-50k",0.35643,"Other"
"497","$100k+",0.30285,"Executive"
"498","$50-75k",0.31053,"Other"
"501","$50-75k",0.18726,"Other"
"502","$25-50k",0.24807,"Sales"
"503","$100k+",0.12691,"Engineer"
"504","$50-75k",0.19645,"Skilled Labor"
"505","$75-100k",0.14348,"Programmer"
"506","$25-50k",0.1899,"Other"
"507","$50-75k",0.35797,"Other"
"508","$100k+",0.13799,"Nursing"
"509","$25-50k",0.30532,"Nursing"
"510","$50-75k",0.13301,"Other"
"511","$25-50k",0.25625,"Retail Management"
"512","$50-75k",0.19236,"Other"
"513","$100k+",0.15355,"Pharmacist"
"514","$100k+",0.27285,"Scientist"
"515","$50-75k",0.13697,"Professional"
"516","$75-100k",0.11695,"Analyst"
"517","$50-75k",0.13202,"Military"
"518","$50-75k",0.13227,"Teaching"
"519","$1-25k",0.28324,"Other"
"521","$75-100k",0.16324,"Sales"
"522","$100k+",0.1742,"Doctor/Dentist"
"523","$50-75k",0.24822,"Teaching"
"524","$25-50k",0.31053,"Professional"
"525","$25-50k",0.25564,"Skilled Labor"
"526","$75-100k",0.2951,"Other"
"527","$1-25k",0.1265,"Accountant"
"528","$50-75k",0.36783,"Professional"
"529","$25-50k",0.1717,"Food Service"
"530","$25-50k",0.21648,"Food Service"
"531","$1-25k",0.19144,"Sales"
"532","$50-75k",0.18526,"Executive"
"533","$100k+",0.13799,"None provided"
"534","$100k+",0.15629,"Engineer"
"535","$75-100k",0.3179,"Professional"
"537","$25-50k",0.1973,"Other"
"538","$25-50k",0.35643,"Professional"
"539","$50-75k",0.23983,"Other"
"540","$50-75k",0.24758,"Analyst"
"541","$100k+",0.20984,"Truck Driver"
"542","$50-75k",0.18524,"Other"
"543","$50-75k",0.22466,"Other"
"544","$50-75k",0.37453,"Truck Driver"
"545","$25-50k",0.13697,"Sales"
"546","$25-50k",0.25886,"Other"
"548","$75-100k",0.20053,"Professional"
"549","$50-75k",0.27285,"Clergy/Religious"
"550","$25-50k",0.10692,"Programmer"
"551","$50-75k",0.19143,"Other"
"552","$25-50k",0.29254,"Truck Driver"
"553","$100k+",0.24205,"Other"
"554","$50-75k",0.28974,"Admin Assistant"
"555","$100k+",0.09367,"Other"
"556","$50-75k",0.37453,"Analyst"
"557","$25-50k",0.29363,"None provided"
"558","$75-100k",0.18214,"Other"
"559","$25-50k",0.2951,"Other"
"560","$1-25k",0.26383,"Retail Management"
"561","$50-75k",0.16324,"Food Service"
"562","$50-75k",0.25781,"Other"
"563","$100k+",0.14039,"Other"
"564","$75-100k",0.23477,"Executive"
"565","$25-50k",0.35797,"Other"
"566","$75-100k",0.24856,"Homemaker"
"567","$100k+",0.202,"Engineer"
"568","$25-50k",0.2832,"Engineer"
"569","$25-50k",0.15428,"Executive"
"570","$75-100k",0.15538,"Police Officer"
"571","$50-75k",0.35797,"Food Service Mgmt"
"572","$50-75k",0.35643,"Retail Management"
"573","$50-75k",0.23656,"Professional"
"574","$50-75k",0.14206,"Executive"
"576","$25-50k",0.32321,"Truck Driver"
"577","$1-25k",0.10505,"Homemaker"
"578","$100k+",0.11696,"Professional"
"579","$75-100k",0.15223,"Professional"
"580","$50-75k",0.35285,"Other"
"581","$1-25k",0.30899,"Food Service"
"582","$1-25k",0.22773,"None provided"
"583","$25-50k",0.24218,"Retail Management"
"584","$50-75k",0.2129,"Nursing"
"585","$50-75k",0.24148,"Analyst"
"587","$75-100k",0.34408,"Accountant"
"588","$50-75k",0.27285,"Other"
"589","$50-75k",0.13413,"Clerical"
"590","$25-50k",0.19228,"Professional"
"592","$75-100k",0.17849,"Analyst"
"593","$100k+",0.25359,"Professional"
"594","$100k+",0.21832,"Nursing"
"595","$75-100k",0.10391,"Analyst"
"596","$25-50k",0.16662,"Sales"
"597","$50-75k",0.28851,"Nursing"
"598","$50-75k",0.17849,"Retail Management"
"599","$50-75k",0.35643,"Programmer"
"600","$75-100k",0.12691,"Scientist"
"601","$75-100k",0.33097,"Executive"
"602","$75-100k",0.33286,"Professional"
"603","$75-100k",0.28386,"Sales"
"604","$25-50k",0.29537,"Other"
"605","$50-75k",0.16686,"Professional"
"606","$50-75k",0.24507,"Other"
"607","$75-100k",0.09837,"Analyst"
"608","$50-75k",0.35097,"Accountant"
"609","$100k+",0.07439,"Attorney"
"610","$75-100k",0.23847,"Analyst"
"611","$50-75k",0.18965,"Other"
"612","$100k+",0.17317,"Executive"
"613","$50-75k",0.28899,"Admin Assistant"
"614","$100k+",0.12528,"Other"
"615","$50-75k",0.23438,"Retail Management"
"616","$1-25k",0.202,"Truck Driver"
"617","$100k+",0.13301,"Nursing"
"618","$25-50k",0.17069,"Truck Driver"
"619","$25-50k",0.27285,"Other"
"620","$50-75k",0.37453,"Tradesman"
"621","$25-50k",0.24246,"Sales"
"622","$100k+",0.20051,"Executive"
"623","$100k+",0.13942,"Tradesman"
"624","$25-50k",0.29588,"Other"
"625","$25-50k",0.2893,"Clergy/Religious"
"627","$1-25k",0.35797,"Other"
"628","$1-25k",0.33051,"Other"
"629","$25-50k",0.12271,"Other"
"630","$50-75k",0.14409,"Laborer"
"631","$25-50k",0.21434,"Other"
"632","$25-50k",0.2,"Other"
"633","$25-50k",0.13705,"Other"
"634","$100k+",0.12691,"Analyst"
"635","$25-50k",0.34887,"Other"
"636","$100k+",0.1973,"Realtor"
"637","$50-75k",0.14243,"Teaching"
"638","$100k+",0.19236,"Doctor/Dentist"
"639","$100k+",0.11563,"Engineer"
"640","$25-50k",0.3194,"Social Worker"
"641","$100k+",0.11563,"Professional"
"642","$50-75k",0.21648,"Teaching"
"643","$75-100k",0.08325,"Engineer"
"644","$75-100k",0.19859,"Executive"
"645","$1-25k",0.17677,"Sales"
"646","$100k+",0.21372,"Professional"
"647","$100k+",0.22601,"Executive"
"648","$50-75k",0.24282,"Professional"
"649","$100k+",0.2878,"Nursing"
"650","$100k+",0.14714,"None provided"
"651","$50-75k",0.10033,"Programmer"
"652","$75-100k",0.18454,"Professional"
"653","$50-75k",0.15428,"Fireman"
"654","$100k+",0.29341,"Other"
"656","$25-50k",0.15713,"Student"
"657","$50-75k",0.22135,"Other"
"658","$50-75k",0.20217,"Clergy/Religious"
"659","$100k+",0.10878,"Analyst"
"660","$50-75k",0.19859,"Sales"
"661","$50-75k",0.15629,"Military"
"662","$50-75k",0.14348,"Professional"
"663","$75-100k",0.19645,"Professional"
"665","$50-75k",0.35838,"Civil Service"
"666","$100k+",0.24758,"Investor"
"667","$25-50k",0.20835,"Other"
"668","$100k+",0.15161,"Realtor"
"669","$25-50k",0.35797,"Professional"
"670","$50-75k",0.34621,"Professional"
"671","$25-50k",0.32378,"Accountant"
"672","$50-75k",0.1899,"Truck Driver"
"673","$25-50k",0.20524,"Truck Driver"
"674","$25-50k",0.16151,"Other"
"675","$25-50k",0.24246,"Military"
"676","$25-50k",0.32989,"Skilled Labor"
"677","$50-75k",0.0893,"Professor"
"678","$100k+",0.23052,"Accountant"
"679","$75-100k",0.35797,"Attorney"
"680","$25-50k",0.16461,"Other"
"681","$1-25k",0.33973,"Other"
"682","$100k+",0.22108,"Attorney"
"683","$50-75k",0.14658,"Other"
"684","$75-100k",0.25227,"Tradesman"
"685","$1-25k",0.35797,"Truck Driver"
"686","$50-75k",0.17522,"Skilled Labor"
"687","$50-75k",0.26681,"Other"
"688","$100k+",0.16294,"Pilot"
"690","$100k+",0.17359,"Other"
"691","$50-75k",0.13227,"Other"
"692","$100k+",0.18136,"Professional"
"693","$25-50k",0.16324,"Programmer"
"694","$25-50k",0.12528,"Medical Technician"
"696","$75-100k",0.13138,"Professional"
"697","$50-75k",0.18136,"Other"
"698","$25-50k",0.18275,"Programmer"
"700","$75-100k",0.20053,"Other"
"701","$75-100k",0.19859,"Realtor"
"702","$50-75k",0.20593,"Professional"
"703","$100k+",0.08182,"Analyst"
"704","$1-25k",0.07479,"Admin Assistant"
"705","$25-50k",0.35838,"Nursing"
"706","$25-50k",0.23438,"Other"
"708","$75-100k",0.25013,"Executive"
"709","$75-100k",0.14206,"Laborer"
"710","$50-75k",0.35797,"Professor"
"711","$100k+",0.15803,"Professional"
"712","$75-100k",0.25259,"Professional"
"713","$75-100k",0.22908,"Professional"
"714","$1-25k",0.22368,"Other"
"715","$50-75k",0.35643,"Teaching"
"716","$50-75k",0.17839,"Tradesman"
"717","$75-100k",0.16215,"Other"
"718","$75-100k",0.37453,"Tradesman"
"719","$25-50k",0.18725,"Police Officer"
"720","$25-50k",0.13905,"Analyst"
"721","$100k+",0.08331,"Other"
"723","$25-50k",0.10582,"Tradesman"
"724","$50-75k",0.13799,"Other"
"725","$75-100k",0.25998,"Programmer"
"726","$1-25k",0.10082,"Food Service Mgmt"
"727","$25-50k",0.11766,"Police Officer"
"728","$25-50k",0.20784,"Accountant"
"729","$75-100k",0.39153,"Professional"
"730","$25-50k",0.09736,"Other"
"732","$25-50k",0.2004,"Analyst"
"733","$25-50k",0.22995,"Other"
"734","$50-75k",0.16969,"Other"
"735","$75-100k",0.30131,"Accountant"
"736","$25-50k",0.14974,"Architect"
"737","$50-75k",0.35797,"Other"
"738","$100k+",0.21166,"Other"
"739","$75-100k",0.14857,"Other"
"740","$25-50k",0.12562,"Other"
"741","$50-75k",0.18214,"Teaching"
"742","$50-75k",0.21832,"Other"
"743","$25-50k",0.09333,"Nursing"
"744","$50-75k",0.12562,"Programmer"
"745","$25-50k",0.15538,"Nursing"
"746","$50-75k",0.22135,"Analyst"
"747","$50-75k",0.23318,"Police Officer"
"748","$25-50k",0.24753,"Tradesman"
